county,year,month,temperature,quantile_score,model_type
Placer,2018,3,5.442743607432817,0.47082797323212483,AutoBNN - Temperature Anom Lags
Placer,2018,4,9.676850513444435,0.17051787365867635,AutoBNN - Temperature Anom Lags
Placer,2018,5,14.02691713553304,0.26992861622210707,AutoBNN - Temperature Anom Lags
Placer,2018,6,19.551780160618137,0.18341980043685793,AutoBNN - Temperature Anom Lags
Placer,2018,7,24.104445742133123,0.15332000736034276,AutoBNN - Temperature Anom Lags
Placer,2018,8,21.475395743251056,0.4929630551253906,AutoBNN - Temperature Anom Lags
Placer,2018,9,18.56238961568033,0.19796573148833377,AutoBNN - Temperature Anom Lags
Placer,2018,10,13.23437054893094,0.1750998098019397,AutoBNN - Temperature Anom Lags
Placer,2018,11,8.212310229224443,0.2088386465684332,AutoBNN - Temperature Anom Lags
Placer,2018,12,4.384924627896908,0.1376319068188619,AutoBNN - Temperature Anom Lags
Riverside,2018,1,14.299428842202076,0.7997427428009535,AutoBNN - Temperature Anom Lags
Riverside,2018,2,13.234412196670633,0.15540533197949633,AutoBNN - Temperature Anom Lags
Riverside,2018,3,15.67643750207867,0.4437362991740005,AutoBNN - Temperature Anom Lags
Riverside,2018,4,20.99824483009877,0.371718818792189,AutoBNN - Temperature Anom Lags
Riverside,2018,5,22.734391719200403,0.21705553761297702,AutoBNN - Temperature Anom Lags
Riverside,2018,6,28.35022410437125,0.26373822445219214,AutoBNN - Temperature Anom Lags
Riverside,2018,7,32.05728840601495,0.14411113293484004,AutoBNN - Temperature Anom Lags
Riverside,2018,8,31.16164095852628,0.1674146526811099,AutoBNN - Temperature Anom Lags
Riverside,2018,9,28.65784461164884,0.49926078083539255,AutoBNN - Temperature Anom Lags
Riverside,2018,10,20.879477630600945,0.28401663049904985,AutoBNN - Temperature Anom Lags
Riverside,2018,11,15.653271658817914,0.302571837102825,AutoBNN - Temperature Anom Lags
Riverside,2018,12,11.56619007578388,0.16988671978916786,AutoBNN - Temperature Anom Lags
Sacramento,2018,1,10.30290616407524,0.268739697439502,AutoBNN - Temperature Anom Lags
Sacramento,2018,2,10.409468248833718,0.3857435605020234,AutoBNN - Temperature Anom Lags
Sacramento,2018,3,12.46603073451763,0.2804729640303236,AutoBNN - Temperature Anom Lags
Sacramento,2018,4,15.888167098300189,0.15416709083198296,AutoBNN - Temperature Anom Lags
Sacramento,2018,5,19.11184548043957,0.45815578384757644,AutoBNN - Temperature Anom Lags
Sacramento,2018,6,23.345693454995512,0.3102029428488076,AutoBNN - Temperature Anom Lags
Sacramento,2018,7,25.124316443333896,0.18634063065052034,AutoBNN - Temperature Anom Lags
Sacramento,2018,8,22.621051964806043,0.5628818023054286,AutoBNN - Temperature Anom Lags
Sacramento,2018,9,21.29278216850804,0.4846168243553904,AutoBNN - Temperature Anom Lags
Sacramento,2018,10,18.556497070734736,0.15755489472788994,AutoBNN - Temperature Anom Lags
Sacramento,2018,11,12.778712207692934,0.15472545714390398,AutoBNN - Temperature Anom Lags
Sacramento,2018,12,9.765696712502688,0.15667283510017876,AutoBNN - Temperature Anom Lags
San Bernardino,2018,1,12.094628137074835,0.661621407499217,AutoBNN - Temperature Anom Lags
San Bernardino,2018,2,11.477591585663845,0.16887916473577722,AutoBNN - Temperature Anom Lags
San Bernardino,2018,3,14.175813742405296,0.5281487337206349,AutoBNN - Temperature Anom Lags
San Bernardino,2018,4,20.436126968232315,0.4701340447411393,AutoBNN - Temperature Anom Lags
San Bernardino,2018,5,23.00609728580224,0.18509127051089744,AutoBNN - Temperature Anom Lags
San Bernardino,2018,6,29.17967874210035,0.17247770132440501,AutoBNN - Temperature Anom Lags
San Bernardino,2018,7,32.827041968908134,0.15373528213211982,AutoBNN - Temperature Anom Lags
San Bernardino,2018,8,31.57626125816841,0.25977365904986255,AutoBNN - Temperature Anom Lags
