"county","year","month","latitude","longitude","volumetric_soil_water_layer_1","soil_temperature_layer_1","surface_runoff","convective_precipitation","runoff","precipitation","potential_evaporation","low_veg_cover","hi_veg_cover","leaf_area_index_lo_veg","leaf_area_index_hi_veg","surface_pressure","temperature","dewpoint_temperature","skin_reservoir_content","wind_speed","skin_temperature","relative_humidity","vapor_pressure_diff"
"San Bernardino",1990,1,34.8417045289961,-116.178323975937,0.0464613254047073,8.44382516025121,0.0207771864748889,0.3159056869793,0.0207771864748889,0.616374204307,-1.976935784565,0.950436306773668,0.0359697034477246,0.58711005536375,0.671771102589269,92.552909682705,8.41906385029961,-5.42615546728149,0.0107366526905297,2.30352957525277,7.13861496899068,0.374591206247771,7.00402734968853
"San Bernardino",1990,2,34.8417045289961,-116.178323975937,0.042412595989745,10.3184919316168,0.032052617104612,0.2479423618828,0.032052617104612,0.6778526261997,-2.7395525738798,0.950436306773668,0.0359697034477246,0.591260008028315,0.673885201834701,92.5147450276512,9.57535314604553,-6.74447566895549,0.0088840133446735,2.88128953147039,9.37944028361358,0.317776998733525,8.3156490594442
"San Bernardino",1990,3,34.8417045289961,-116.178323975937,0.0238241179056098,17.2576565953626,0.0070618503724416,0.1287808777176,0.0071618214297303,0.1797278300129,-4.2881927540063,0.950436306773668,0.0359697034477246,0.596281984980747,0.676986565362177,92.2920499485158,15.0918326817318,-4.04522436555033,0.0025868481450353,2.72522511336803,17.0759413141777,0.273228845852467,12.7239899597481
"San Bernardino",1990,4,34.8417045289961,-116.178323975937,0.0224667607996234,23.1519722832462,0.0109112750200429,0.214929376943,0.0109112750200429,0.266951098376,-5.6275252388042,0.950436306773668,0.0359697034477246,0.596960310863532,0.677922109572936,92.1217834955865,19.4081688718749,1.2648145709756,0.0033803668512975,2.92458409808898,23.1054417684511,0.30490722786529,16.038400898249
"San Bernardino",1990,5,34.8417045289961,-116.178323975937,0.0180010640626649,25.9559602848033,0.009319635803973,0.1283641667692,0.0095478272899446,0.2848523559692,-7.0197310316501,0.950436306773668,0.0359697034477246,0.595616376185958,0.678069634763303,91.9805079687634,21.4198374519857,0.349321530480608,0.0023036847774049,3.52626603795876,25.7945294602961,0.251920155203388,19.5334691008484
"San Bernardino",1990,6,34.8417045289961,-116.178323975937,0.0225922742301955,32.0538664487166,0.0085551515442906,0.2492059787564,0.008730257468934,0.2706749676188,-8.1477905973924,0.950436306773668,0.0359697034477246,0.594652300826698,0.677255491013099,92.091625920509,27.9345145082305,2.85833230966148,0.001539044263359,2.85222035567127,32.5657633031716,0.20120520634512,30.5026608760455
"San Bernardino",1990,7,34.8417045289961,-116.178323975937,0.0314198315021466,35.4409408222928,0.0222289445882647,0.5531463814542,0.0218495519315874,0.568434318631,-8.0348309971151,0.950436306773668,0.0359697034477246,0.593888734687973,0.676598919002413,92.1916963192512,30.7202551140118,9.23354249750969,0.0020992509382471,2.55662072188875,35.6295532738839,0.261121800749787,32.9316404214954
"San Bernardino",1990,8,34.8417045289961,-116.178323975937,0.0249125438416037,33.2105931323541,0.01121027840582,0.3047360250032,0.0112235242317014,0.3153448028474,-7.2806785680829,0.950436306773668,0.0359697034477246,0.593170715478255,0.676007721042609,92.2770901924589,28.6786864893315,7.59432468244131,0.0014910590433027,2.47582853490763,33.0890820995577,0.264801345080682,29.1928709735995
"San Bernardino",1990,9,34.8417045289961,-116.178323975937,0.0248436254145407,29.5996697526499,0.015066519707371,0.5182701262966,0.0149770506797342,0.5357888510474,-5.9336289938875,0.950436306773668,0.0359697034477246,0.590976914977092,0.674651337856333,92.2318341779936,26.1622458182388,6.48695030796381,0.0026201257809551,2.32561871136672,29.3028182985225,0.282293125981268,24.487702139282
"San Bernardino",1990,10,34.8417045289961,-116.178323975937,0.0169932150570912,22.1245376059901,0.0011986996405418,0.0363482614546057,0.0010765750771136,0.0449628473349115,-4.4587133613807,0.950436306773668,0.0359697034477246,0.588073060525477,0.672649858800543,92.4018262691691,20.6551041467367,-1.61316893638946,0.0004487802895034,2.24693664562057,21.7252901420643,0.222624498840135,19.0005470939382
"San Bernardino",1990,11,34.8417045289961,-116.178323975937,0.0204161233704921,13.5400028829592,0.0054678819225044,0.0508228799768117,0.0054038061675312,0.1630643125932,-2.8458198485418,0.950436306773668,0.0359697034477246,0.585389189727945,0.670722951241572,92.5251590531406,13.0270017358953,-6.45970052243041,0.0026901487065619,2.69424415142032,12.5938277758228,0.252480010710168,11.3068111613489
"San Bernardino",1990,12,34.8417045289961,-116.178323975937,0.0188525577195445,5.75195137686489,0.0024069941349933,0.0580072092881223,0.002414963637665,0.0911732576014824,-1.8304595738632,0.950436306773668,0.0359697034477246,0.585102849089974,0.670572808229992,92.5173008476296,5.62699594738996,-12.0559158728087,0.0024940249665446,2.58803407512864,4.79446162363939,0.269965908193394,6.71921861948819
"San Bernardino",1991,1,34.8417045289961,-116.178323975937,0.0835966287918937,7.71212984118762,0.020525895185459,0.0941189612129321,0.0206739069559458,0.7291841081917,-1.7537098371994,0.950436306773668,0.0359697034477246,0.58711005536375,0.671771102589269,92.6536226817796,8.12472867341148,-4.64465672116091,0.0160682890756451,2.05827889910824,6.96546568587405,0.403020980637919,6.50994685209479
"San Bernardino",1991,2,34.8417045289961,-116.178323975937,0.0247203580353421,13.6705146257815,0.030800105865088,0.2276849593354,0.0307822327977329,0.805555299619,-3.2127360891695,0.950436306773668,0.0359697034477246,0.591260008028315,0.673885201834701,92.5666496909951,13.8309978664821,-5.87669813634756,0.0058944281568911,2.36324218835189,13.816420884817,0.252616830180545,11.9108588805108
