,county,year,month,temperature,soil_temperature_layer_1,latitude,longitude,wind_speed,dewpoint_temperature,hi_veg_cover,leaf_area_index_hi_veg,leaf_area_index_lo_veg,low_veg_cover,potential_evaporation,runoff,skin_reservoir_content,surface_pressure,surface_runoff,precipitation,volumetric_soil_water_layer_1,relative_humidity,vapor_pressure_diff
12360,Fresno,1990,1,3.691191142273169,4.663883507649075,36.758327575679,-119.64846820119908,1.7114294785452429,-2.031155252400368,0.4902274375990867,3.0039305548966766,1.6555413693801453,0.500236904755772,-1.2929494809598,0.1565053581236,0.1195235510288,90.88582599130274,0.1281463372816,2.6079805068716,0.3277224729889187,0.663747248908889,2.7405830551907497
12361,Fresno,1990,2,4.0507411372014985,5.4753775654364745,36.758327575679,-119.64846820119908,1.9771569848914428,-2.5522646802995155,0.4902274375990867,3.0663616688651154,1.7181465156022333,0.500236904755772,-1.844629309207,0.2245062993064999,0.1655002029521,90.90403957979116,0.1899250767216,2.842696303956,0.3454442745581667,0.6223397225054378,3.3114041477687497
12362,Fresno,1990,3,8.839996319863246,9.44242046420834,36.758327575679,-119.64846820119908,1.8597447203027409,1.2450009258933503,0.4902274375990867,3.149199244270253,1.77827753807018,0.500236904755772,-3.236897224789,0.6433229387663001,0.1459565279248,90.74381944741788,0.4939236103671,1.1756654853854,0.3100606488470701,0.5942065158414652,5.190213572842086
12363,Fresno,1990,4,13.3243049121711,13.92864161143808,36.758327575679,-119.64846820119908,2.0012865371230286,4.051746656568184,0.4902274375990867,3.185963878216911,1.7778741026654754,0.500236904755772,-4.870311732565701,0.8357993579948,0.0884851313955067,90.5849307783264,0.66171989266,1.1419562492914,0.2831787249666079,0.5505498410468554,8.121008986738307
12364,Fresno,1990,5,14.855897100378968,16.20808900749006,36.758327575679,-119.64846820119908,2.1648572509185624,3.505000112179914,0.4902274375990867,3.2097069111013354,1.7648903368197195,0.500236904755772,-6.0146992306695,0.3356608057569,0.0299600276511784,90.47718458916192,0.1703725933037,1.5928750481624,0.2511439345366374,0.477194137997358,10.013466582979742
12365,Fresno,1990,6,20.04510737343452,21.01407596046096,36.758327575679,-119.64846820119908,2.2398971051213614,6.230125425897825,0.4902274375990867,3.2339242839009543,1.7796269660285289,0.500236904755772,-7.953728638451899,0.1771081444662,0.0091072329958076,90.6308751857389,0.0551896828720731,0.298132949106,0.2262932218512927,0.409799554341597,14.880606107390967
12366,Fresno,1990,7,23.663919123013383,25.01261535388261,36.758327575679,-119.64846820119908,1.9708693790681493,9.392269427307724,0.4902274375990867,3.236854736808856,1.8045168150967383,0.500236904755772,-8.4500666162763,0.2462532535642,0.010008588797707,90.650341097153,0.1592331509715999,0.7866040706296,0.205039101099603,0.408043545243016,18.76472824673497
12367,Fresno,1990,8,21.843690105965493,23.20354861454706,36.758327575679,-119.64846820119908,1.9627430268650008,8.906026461537806,0.4902274375990867,3.2102323089445552,1.7810183455463984,0.500236904755772,-7.2849538848272,0.1304760433007999,0.0091780675496307,90.728312642538,0.0679513377299965,0.4386213402269,0.1985581561940889,0.4374576533589685,15.848382390960737
12368,Fresno,1990,9,19.266542322579085,20.354181093413786,36.758327575679,-119.64846820119908,1.8567407911407383,6.887657906531899,0.4902274375990867,3.1576548288869466,1.7329744281596469,0.500236904755772,-5.7714505406634,0.1168833533964,0.023820143771459,90.68789723405064,0.069882433453255,0.8033729658357001,0.1968441433577289,0.4435747747901294,13.145134492500995
12369,Fresno,1990,10,15.64236811511762,15.814458156011597,36.758327575679,-119.64846820119908,1.6946808471134989,2.2119284184520893,0.4902274375990867,3.087525125312651,1.682155625470817,0.500236904755772,-4.260327495419999,0.0423562276905026,0.0029405922883036,90.78767861146903,0.0046949182810808,0.1114172719688,0.186346746229447,0.403863927776028,11.16280617034125
12370,Fresno,1990,11,8.372552294477941,8.612180630373643,36.758327575679,-119.64846820119908,1.772247770148339,-3.166634617263526,0.4902274375990867,3.030488144826252,1.645058526536424,0.500236904755772,-2.4617454739145,0.0580299200583394,0.0146932487755118,90.9410363997786,0.0271107041018283,0.4821234586266,0.1973057569414205,0.4417768241976874,6.394888675162912
12371,Fresno,1990,12,1.170160581256539,2.7468248860357107,36.758327575679,-119.64846820119908,1.6144759937747497,-7.105585221119554,0.4902274375990867,2.9935155965085425,1.6296238116609687,0.500236904755772,-1.3609188861985,0.0572927952532823,0.0724051532176165,90.8580099875962,0.0308266408017962,0.9374536961337,0.2663108734403396,0.5452608548726842,3.222832932579514
12372,Fresno,1991,1,4.310542910970867,4.357531633232611,36.758327575679,-119.64846820119908,1.4352196378518405,-2.509409347589383,0.4902274375990867,3.0039305548966766,1.6555413693801453,0.500236904755772,-1.4491815765092,0.0937309761709217,0.1127016599308999,90.99338060420956,0.0702059028187033,0.4772737797541,0.2757899772578955,0.6132709522867809,3.4112091887642344
12373,Fresno,1991,2,8.730226933958534,8.245148587345057,36.758327575679,-119.64846820119908,1.69874424981731,0.8243726597838759,0.4902274375990867,3.0663616688651154,1.7181465156022333,0.500236904755772,-2.4837001324997003,0.1587245265827,0.0960360030322661,90.90712142627332,0.1363881850033,1.5091690923804,0.280964647939858,0.5764063202351801,5.104591374498296
12374,Fresno,1991,3,5.374808397953757,7.242619048193546,36.758327575679,-119.64846820119908,2.243045207035433,0.3382144425327169,0.4902274375990867,3.149199244270253,1.77827753807018,0.500236904755772,-2.1436328285339,1.050491928743,0.2263491620785,90.36274922652368,0.8656904639892,9.9297669734721,0.4011409053956438,0.7004018491211093,2.985637755100779
