county,year,month,temperature,mu,sigma,norm_loss,quantile_score
Fresno,2017,1,4.59365503651253,5.0811246535360715,1.162916779305537,-1.157725120758022,0.17777914525105756
Fresno,2017,2,7.377905791368562,6.407284478349695,1.399204031969614,-1.4954486700982228,0.2955645437858963
Fresno,2017,3,9.82740408472364,8.844259888888656,1.7167021687823305,-1.6233325697653544,0.3129893902181936
Fresno,2017,4,11.882507067534275,11.226091513203533,1.6362881163657756,-1.491834081617557,0.24541835209210855
Fresno,2017,5,16.779072963208193,15.60671966541514,2.0681087503993316,-1.8062451049907848,0.37444332278165865
Fresno,2017,6,22.635695572603595,20.224344756845813,1.6601222572886618,-2.480728237846106,0.7994718266654421
Fresno,2017,7,26.193360978207977,23.646919331311192,1.300997455956417,-3.0975804088056167,0.9278978680969173
Fresno,2017,8,24.95876000170722,22.886943185717133,0.9924553694340549,-3.090332736143731,0.7702087993072042
Fresno,2017,9,20.24192133252064,19.96646771310446,1.011448597560241,-0.9674054737590168,0.13435360325663107
Fresno,2017,10,15.399842638526591,14.691989106432088,1.4522404290532955,-1.4108359886581545,0.23951290014746052
Fresno,2017,11,10.998030972231277,8.677571192485734,1.6800293590369584,-2.391609176775045,0.7580316064233018
Fresno,2017,12,6.042154497901947,4.7571969545022705,1.3370646964897788,-1.6712032979146063,0.3890310461232733
Kern,2017,1,7.266734156362077,7.898339633798303,1.1905024039052525,-1.2340486506012287,0.2064280120236591
Kern,2017,2,10.24670530752394,9.356896341412519,1.6314012151268251,-1.557122689972606,0.2879078039381038
Kern,2017,3,13.186824522246807,11.91548068472774,1.7660483060977972,-1.7467969962706915,0.38520950154379324
Kern,2017,4,15.303042005323904,14.349882480608516,1.6973730025955478,-1.6056894034777387,0.30535749446963645
Kern,2017,5,19.79731626663397,18.678302064191122,1.9875791944033745,-1.764342461874648,0.358193108508219
Kern,2017,6,25.291358720237383,23.0864354310639,1.6144592706116305,-2.330554456596119,0.7179786664507635
Kern,2017,7,28.927161411452232,26.4936362133171,1.2425099761063099,-3.0540425748297113,0.8869324028837289
Kern,2017,8,27.80185868637767,25.901577349354397,0.9778263318808655,-2.784864731638992,0.690871929813434
Kern,2017,9,22.86289895063021,22.83292554428203,1.0682082164624345,-0.9853148822153589,0.12618521132405644
Kern,2017,10,17.992181552048123,17.28071724611767,1.3941901714520863,-1.3814586193323077,0.23610463959373096
Kern,2017,11,13.67524094602203,11.417874921147686,1.5942098013283876,-2.3878135892627683,0.7427254900759568
Kern,2017,12,9.279614971066335,7.463805910192996,1.2654512003116543,-2.18385116910972,0.5998453280762502
Los Angeles,2017,1,9.05171889995853,9.920550418713821,1.3069945620304078,-1.407618589540261,0.26647227011071173
Los Angeles,2017,2,11.152807514652691,10.650008623097616,1.6831205018518078,-1.4842079056990782,0.2286154539134524
Los Angeles,2017,3,14.577131047411283,12.564055238455305,1.734132726693012,-2.14323755717046,0.628928341529282
Los Angeles,2017,4,16.450873627407248,14.411675628048235,1.6179555398813394,-2.1943489594121317,0.649721584311572
Los Angeles,2017,5,18.05906566269277,17.404898349812424,1.6698942088101445,-1.5084296167452864,0.24799602337642138
Los Angeles,2017,6,22.781388263990607,20.71400645694376,1.5314890794637153,-2.2563158251350424,0.6709249236347249
Los Angeles,2017,7,25.40627555107324,23.509317184684242,1.1098134763893173,-2.4839131876858587,0.6618506226267588
Los Angeles,2017,8,24.702923789092893,23.84863000744085,0.9685080951924508,-1.275965519332502,0.25695085141362045
Los Angeles,2017,9,21.853036537307844,22.031717346651792,1.0102801709954923,-0.9448064177823239,0.12552151825564398
Los Angeles,2017,10,19.81989870192081,17.92559146288696,1.454242641031466,-2.141816807979524,0.6088049382082721
Los Angeles,2017,11,15.634410780060476,13.233844575370714,1.548981669244078,-2.5574306706854393,0.8117793059992394
Los Angeles,2017,12,12.509945635395924,9.576661530406398,1.1277840753918302,-4.421603997632963,1.1619921796426513
Merced,2017,1,9.168728237935454,9.25739965103651,1.066338875197329,-0.9866270799313175,0.1272949416485884
Merced,2017,2,12.260782678090834,11.192535465670831,1.2090082620429055,-1.4990896752593734,0.3213344464921814
Merced,2017,3,14.24598037214281,13.685920685286197,1.5939595376695364,-1.44688799054559,0.2273032223456515
Merced,2017,4,16.50085692315554,16.155442648071336,1.5309667632815298,-1.3702897722131508,0.19623553924369166
Merced,2017,5,21.334653115948527,19.995763222511847,1.9646231729823718,-1.826459838516505,0.40883081735854326
Merced,2017,6,25.61297889015492,23.525957936757088,1.3742391694316143,-2.390023759945124,0.7014242323118611
Merced,2017,7,28.451766495373647,26.270461836529932,1.2463762432788665,-2.6706341973459833,0.7666964845071195
Merced,2017,8,27.65093441044246,25.472860234536938,0.9132072881579111,-3.6724539897505766,0.842351139555883
Merced,2017,9,24.44067581052269,23.206668498110243,0.9046161982442603,-1.7491091189405765,0.40168745019939184
Merced,2017,10,18.474291087989627,18.44106713271765,1.2609948249317497,-1.1511865794049976,0.14892598040446284
Merced,2017,11,14.727479128095638,12.830970779413663,1.284861533652398,-2.2589380591600112,0.6317363288135577
Merced,2017,12,9.481700337938776,9.069180337114082,1.3735008998409775,-1.2814040719769442,0.18681750110087922
Orange,2017,1,12.393498644599616,12.497010216360708,0.9339172440224268,-0.8567133846613428,0.11249909518090015
Orange,2017,2,13.53560259960085,13.04135706612124,1.2615727861684811,-1.2280393252919435,0.187361645426501
Orange,2017,3,15.94799632352641,14.264322854854452,1.3479213174443108,-1.9976136335538388,0.535225174754836
Orange,2017,4,17.415313263147937,15.560349661267361,1.299102275804896,-2.200034236730888,0.6118763186069486
