,county,year,month,temperature,mu,sigma,temp_anom_L12,quantile_score
0,San Bernardino,2018,1,12.094628137074835,12.256553,0.37075093,-1.0506277757884668,0.05776361688187159
1,San Bernardino,2018,2,11.477591585663845,11.650173,0.36585996,1.2624818161309594,0.0592661554314045
2,San Bernardino,2018,3,14.175813742405296,14.214418,0.3198778,2.5887046546634807,0.03867549743580025
3,San Bernardino,2018,4,20.436126968232315,20.35666,0.29950094,1.526394659662344,0.03956097636215535
4,San Bernardino,2018,5,23.00609728580224,23.053932,0.3025497,0.44687121620931336,0.037215981512418096
5,San Bernardino,2018,6,29.17967874210035,29.3513,0.41772008,2.6568177785393665,0.06328534668396252
6,San Bernardino,2018,7,32.827041968908134,32.74923,0.49293917,2.1055456940788844,0.06062723287784371
7,San Bernardino,2018,8,31.57626125816841,31.5201,0.4652516,0.9396291705880273,0.056252785248707284
8,San Bernardino,2018,9,28.297978415535056,28.228472,0.36822587,-0.9628039378349378,0.04608186708889911
9,San Bernardino,2018,10,19.823993610298142,19.926332,0.29936156,0.8484574258113611,0.042301736112948005
10,San Bernardino,2018,11,13.630796143178202,13.65421,0.32654342,2.557409927250168,0.03886089977451216
11,San Bernardino,2018,12,9.47677626599136,9.419513,0.41568696,2.0869106646828772,0.05063283843085835
12,San Bernardino,2019,1,9.73586276460776,9.5469475,0.41568696,2.6219837435610494,0.06605333220697321
13,San Bernardino,2019,2,7.95503881155031,8.01649,0.4472902,0.3337714867363406,0.0544730622524083
14,San Bernardino,2019,3,14.29877871152138,14.304619,0.3198778,-0.42212936917976407,0.037760999795356916
15,San Bernardino,2019,4,19.85156493446084,19.705208,0.29950094,2.752090458335939,0.04946549558422259
16,San Bernardino,2019,5,19.47142986357857,19.48646,0.30046296,0.4784139038266453,0.03559304887978452
17,San Bernardino,2019,6,28.3676364822914,28.392826,0.40538833,1.8307443269324928,0.048146060373426156
18,San Bernardino,2019,7,31.28390598464506,31.251009,0.4652516,2.245947000350135,0.0553564376004578
19,San Bernardino,2019,8,31.373882769045224,31.374668,0.4505662,1.4950990668212292,0.05315095065082154
20,San Bernardino,2019,9,26.3511260895998,26.24862,0.34484726,1.629614218741633,0.0467808709278001
21,San Bernardino,2019,10,18.47879695365248,18.50712,0.29936156,-0.2608503215139031,0.03585774754643454
22,San Bernardino,2019,11,13.747330276137006,13.675104,0.32654342,0.400513582540972,0.04173120006497835
23,San Bernardino,2019,12,8.488240534811098,8.510815,0.4397053,0.8975439218974088,0.05210183269466484
24,San Bernardino,2020,1,10.197916930279746,10.072208,0.4098934,0.2632183710939735,0.05605892922538915
25,San Bernardino,2020,2,12.29916968801632,12.378159,0.3487275,-3.1887812873771946,0.04472560588449684
26,San Bernardino,2020,3,12.955147957910016,13.04403,0.3438147,-0.29916440006368106,0.04516601446707827
27,San Bernardino,2020,4,18.31613880330815,18.307333,0.29950094,2.1675284245644626,0.0353855126752136
28,San Bernardino,2020,5,24.9340420250511,24.83624,0.33611488,-3.0562535183970247,0.04535116068238197
29,San Bernardino,2020,6,27.885530548398265,27.886784,0.3704318,1.0187020671235416,0.043700980938736235
30,San Bernardino,2020,7,31.84328995450892,31.80349,0.46860507,0.7028110160870611,0.055969518984948535
31,San Bernardino,2020,8,32.62815046208965,32.57843,0.49293917,1.2927205776980415,0.0591557362508995
32,San Bernardino,2020,9,28.709024519054253,28.593258,0.36822587,-0.31723810719362433,0.05071848332917579
33,San Bernardino,2020,10,22.821642172341058,22.892265,0.29936156,-1.606046978159565,0.03866131537865699
34,San Bernardino,2020,11,13.646246987127256,13.662496,0.33069643,0.5170477154997766,0.03917007845141489
35,San Bernardino,2020,12,9.047325756329542,8.942126,0.4373829,-0.090991809282853,0.05667959952542635
36,San Bernardino,2021,1,9.656289249371014,9.644686,0.4120639,0.72527253676596,0.048676873798028715
37,San Bernardino,2021,2,12.108558266864009,12.095124,0.3487275,1.1553495890888161,0.04124973877633943
38,San Bernardino,2021,3,13.16307677395281,13.39783,0.33018196,-1.6427951536750438,0.07123258575856817
39,San Bernardino,2021,4,20.16580021444128,20.17823,0.29950094,0.6321022934117728,0.03544042571231683
40,San Bernardino,2021,5,24.068040185989503,24.02621,0.30723363,2.406358643075503,0.037395213882205104
41,San Bernardino,2021,6,31.073205135009346,31.177725,0.44181156,0.5365961332304074,0.05708605458791254
42,San Bernardino,2021,7,32.88698543773131,32.779026,0.49293917,1.26219498595092,0.0629041067929026
43,San Bernardino,2021,8,31.64617473928996,31.506151,0.4652516,2.5469882707424674,0.06331502321861668
44,San Bernardino,2021,9,28.03568846085085,28.106005,0.36822587,2.0406603222608304,0.04614320001021428
45,San Bernardino,2021,10,18.50628372034373,18.497805,0.29936156,2.736798240529012,0.03536415613301317
46,San Bernardino,2021,11,16.267183119788058,16.315636,0.29936156,0.4159644264900262,0.03689746443905879
47,San Bernardino,2021,12,9.05081378827282,9.14092,0.41984558,0.4680934122355911,0.053418189708182
48,San Bernardino,2022,1,10.047369525671172,10.091727,0.39156145,0.1836448558572279,0.04721082603214761
49,San Bernardino,2022,2,11.319998073820043,11.315668,0.37374535,0.9647381679365044,0.044107372990622236
50,San Bernardino,2022,3,15.7440319471404,15.784393,0.29950094,-1.4348663376322506,0.036430953652685547
51,San Bernardino,2022,4,19.68921383460173,19.84516,0.29950094,2.4817637045449032,0.05133243392824487
52,San Bernardino,2022,5,23.612147139879653,23.67106,0.3025497,1.540356804013907,0.037999434453039785
53,San Bernardino,2022,6,29.343477945072607,29.394115,0.41772008,3.7242707198414884,0.05051553566284164
