,county,year,month,temperature,mu,sigma,temp_anom_L12,quantile_score
0,Sacramento,2018,1,10.30290616407524,10.299889,0.33189964,-0.14559830540922114,0.039164792428627776
1,Sacramento,2018,2,10.409468248833718,10.415029,0.3317479,1.3063587444898666,0.03915973447527755
2,Sacramento,2018,3,12.46603073451763,12.465858,0.27051225,0.7927592508055898,0.031909411747965896
3,Sacramento,2018,4,15.888167098300189,15.883787,0.24726118,0.04684805353112864,0.029188059340268732
4,Sacramento,2018,5,19.11184548043957,19.114233,0.25300837,0.9879820205777534,0.02985591150001617
5,Sacramento,2018,6,23.345693454995512,23.329021,0.32948974,1.503167133430015,0.039035945697988995
6,Sacramento,2018,7,25.124316443333896,25.111584,0.41393688,1.7581507099765759,0.04891443904628413
7,Sacramento,2018,8,22.621051964806043,22.600004,0.31776363,1.047673168359843,0.0377721895498746
8,Sacramento,2018,9,21.29278216850804,21.292614,0.285169,1.1872494823461217,0.033638242883605736
9,Sacramento,2018,10,18.556497070734736,18.554762,0.2546628,0.05050481709992738,0.030047768628018032
10,Sacramento,2018,11,12.778712207692934,12.7872925,0.26748547,1.1670400804794419,0.03161378553568997
11,Sacramento,2018,12,9.765696712502688,9.779822,0.3445838,-0.6614445915446563,0.040772494564157886
12,Sacramento,2019,1,10.627133297066734,10.61891,0.31036916,1.5035584671309898,0.03665590900431155
13,Sacramento,2019,2,9.341170567719246,9.372504,0.34977907,-0.4772071842848824,0.04183458583824875
14,Sacramento,2019,3,12.723852203040508,12.725097,0.27051225,-0.8362487290642786,0.03191482702316894
15,Sacramento,2019,4,17.407981582345656,17.40376,0.24726118,0.2567631819237821,0.02918725494210034
16,Sacramento,2019,5,17.402331112098864,17.402977,0.24726118,-0.08778926834015621,0.029169200423594048
17,Sacramento,2019,6,24.205613850444024,24.196474,0.34921607,0.9817162174673655,0.04124218156223474
18,Sacramento,2019,7,24.579973276809312,24.562222,0.3584508,1.2723743988526621,0.042459618930611454
19,Sacramento,2019,8,25.334666297717263,25.311886,0.41539824,-0.7564829551133627,0.04925834731991991
20,Sacramento,2019,9,22.71816831497722,22.73848,0.32191563,-0.7301510576150783,0.038240190333977665
21,Sacramento,2019,10,17.561781290991007,17.574188,0.2546628,0.6610381911486414,0.0301625029857196
22,Sacramento,2019,11,12.589267840873276,12.605905,0.26748547,0.5541193229867396,0.03176839242190624
23,Sacramento,2019,12,10.671004858633296,10.685964,0.30287173,1.0052261101770146,0.035875490887287864
24,Sacramento,2020,1,9.648954533418872,9.676876,0.34622717,1.8277856001224837,0.041300386303981265
25,Sacramento,2020,2,12.051188811307044,12.063753,0.29094929,-1.545504865399355,0.0344359059728288
26,Sacramento,2020,3,12.5615879308358,12.598688,0.25763348,-0.5784272605414014,0.0314705194050212
27,Sacramento,2020,4,16.94844183669761,16.948156,0.24726118,1.7765776659692492,0.02916738023288121
28,Sacramento,2020,5,21.17333589813597,21.175072,0.26651004,-1.7973036366808621,0.03144522336179414
29,Sacramento,2020,6,24.202604853150888,24.19728,0.35426214,1.8416366129158774,0.04181423195928228
30,Sacramento,2020,7,24.27199881962406,24.234324,0.3546474,0.7280312323280782,0.04264640906252702
