,county,year,month,temperature,mu,sigma,temp_anom_L12,quantile_score
0,Riverside,2018,1,14.299428842202076,14.222051,0.29245085,-1.1501077024009039,0.038606678300338225
1,Riverside,2018,2,13.234412196670633,13.470821,0.28830862,1.1329407605888662,0.07102623497660518
2,Riverside,2018,3,15.67643750207867,15.6320915,0.2558913,2.4984322868374544,0.03173190899397084
3,Riverside,2018,4,20.99824483009877,20.970602,0.24341217,1.8769872431103138,0.029351460594378855
4,Riverside,2018,5,22.734391719200403,22.608734,0.24341217,0.1689403448541391,0.041505777973974464
5,Riverside,2018,6,28.35022410437125,28.338316,0.3297518,2.332166484409541,0.0389931262789803
6,Riverside,2018,7,32.05728840601495,32.070255,0.41307074,1.625298218555585,0.048816038964972816
7,Riverside,2018,8,31.16164095852628,31.16304,0.37599438,0.7335891819019409,0.044357857981946115
8,Riverside,2018,9,28.65784461164884,28.643345,0.31631532,-1.2643100374011382,0.03745088346659619
9,Riverside,2018,10,20.879477630600945,20.830574,0.24341217,1.3068675390599402,0.030685981042483445
10,Riverside,2018,11,15.653271658817914,15.719818,0.25640082,2.494065333524061,0.03371050464683213
11,Riverside,2018,12,11.56619007578388,11.530292,0.33803,2.21361864757748,0.0406476435269441
12,Riverside,2019,1,11.558174064694583,11.50046,0.3389206,2.6988869065229704,0.041960985641674164
13,Riverside,2019,2,9.770823283179425,9.870263,0.3696997,0.3611929307761823,0.04897647045486543
14,Riverside,2019,3,15.543934952415327,15.613945,0.2616722,-0.18479300866356319,0.03462580890462975
15,Riverside,2019,4,20.466829357927168,20.421463,0.24341217,2.408087603945212,0.0304180075785017
16,Riverside,2019,5,19.875006678971545,19.878115,0.24341217,-0.026599856591658977,0.02872762114537347
17,Riverside,2019,6,27.50274945080816,27.525162,0.29146287,1.2206936348008668,0.034729086174755085
18,Riverside,2019,7,30.76675293864389,30.659542,0.3692905,1.9309755161206539,0.049799157222536035
19,Riverside,2019,8,31.26517565384927,31.183512,0.37440187,1.1374955599911765,0.047748813241569064
20,Riverside,2019,9,26.9589059750054,26.93344,0.28864452,1.3513588309612388,0.0345089144303693
21,Riverside,2019,10,20.41162258228303,20.398773,0.24341217,-0.5335460198214399,0.0288514533871025
22,Riverside,2019,11,15.589701799659451,15.603614,0.25640082,0.39517305363891175,0.030400509194079637
23,Riverside,2019,12,10.69419471641976,10.6642685,0.35693774,0.7496034039582788,0.04261835331946605
24,Riverside,2020,1,12.313088420446377,12.1725235,0.32239392,-0.04236787098452233,0.050189541690501265
25,Riverside,2020,2,13.929804232998949,13.938019,0.28163552,-3.1023959827150254,0.0332737450229633
26,Riverside,2020,3,14.174915771853648,14.159787,0.29578874,-0.31729555832690615,0.03504734231039765
27,Riverside,2020,4,19.231631073755693,19.231863,0.24341217,1.87667213177361,0.028713095522893948
28,Riverside,2020,5,25.503303714657022,25.532099,0.27064183,-2.885984896820517,0.032546721992006616
29,Riverside,2020,6,27.599539110848298,27.635302,0.32398796,0.37321898123777686,0.03902070707208359
30,Riverside,2020,7,31.49864001745584,31.569767,0.386184,0.6404400487495963,0.048195198557637396
31,Riverside,2020,8,32.62585938686743,32.570198,0.41872922,1.2410302553141648,0.050891107170353375
32,Riverside,2020,9,29.478008574271826,29.42539,0.34163183,-0.3475798056822015,0.04193175445867516
33,Riverside,2020,10,24.09280864112941,24.0776,0.24341217,-1.001401068139355,0.028911018363864557
34,Riverside,2020,11,15.576874337605489,15.559318,0.25640082,0.33160319448044895,0.0304925469467109
35,Riverside,2020,12,11.251157338087468,11.253347,0.34020674,-0.12239195540584014,0.04014048532302426
36,Riverside,2021,1,11.58988923731738,11.520033,0.34164932,0.7125464847672713,0.04317135081213381
37,Riverside,2021,2,13.986048336890804,13.917691,0.28163552,1.0565849671044987,0.03655590574126494
38,Riverside,2021,3,14.24373260824325,14.42142,0.27497065,-1.6863147388885853,0.05479918882940954
39,Riverside,2021,4,20.69692559949516,20.680496,0.24341217,0.6414738476021355,0.028941857294960877
40,Riverside,2021,5,23.63914089761664,23.635918,0.24341217,2.7423121388649605,0.028728203027679457
41,Riverside,2021,6,30.299603156850083,30.287077,0.3625845,0.4700086412779143,0.042866992144724954
42,Riverside,2021,7,32.01326931554348,32.04981,0.41307074,1.3723271275615474,0.04938803985121223
43,Riverside,2021,8,31.366853675275024,31.407322,0.386184,2.601713988332328,0.046413359874536736
44,Riverside,2021,9,28.364737652675103,28.35402,0.3147452,2.1715227935842236,0.03720878259311403
45,Riverside,2021,10,19.85606359243264,19.841043,0.24341217,2.6797849907070237,0.028906269832025388
46,Riverside,2021,11,18.0609144987298,18.04141,0.24341217,0.31877573242648616,0.029031444411644767
47,Riverside,2021,12,11.110621476154847,11.129154,0.34336102,0.4345706662618678,0.040708594953182305
48,Riverside,2022,1,12.481167436647752,12.525756,0.29926646,-0.01065269836172611,0.03663902463995217
49,Riverside,2022,2,13.016571385875976,13.041493,0.29683965,1.1128290709963533,0.035443865021984905
50,Riverside,2022,3,16.966981417639715,16.951431,0.24341217,-1.6174979024989842,0.028919654253314563
51,Riverside,2022,4,20.523547659005143,20.545025,0.24341217,2.106768373341602,0.029101202602591962
52,Riverside,2022,5,23.77132701638885,23.7695,0.24341217,0.8781493218245799,0.028721147724268092
53,Riverside,2022,6,29.188908816788228,29.214468,0.33840206,3.170072687279699,0.04030574584665784
54,Riverside,2022,7,31.238625572675403,31.293774,0.3851796,1.8869564256491884,0.047032835900012115
55,Riverside,2022,8,31.2939406305764,31.296885,0.3851796,1.3427082767399199,0.04544911183225714
