county,year,month,temperature,simulated_temperature,mu,sigma,simulation_number,hist_temp_avg
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,21.3079579160351,8.237858,3.4522183,1.0,11.148379905834364
Fresno,2018,5,16.308109935850325,27.539329036621428,15.875668,2.1135666,1.0,15.634527908564628
Fresno,2018,6,22.03474855826954,27.004978877365335,12.811485,5.0805326,1.0,20.230983178453634
Fresno,2018,7,26.48462096705111,48.06114708820763,22.14976,2.5782847,1.0,23.6462897093963
Fresno,2018,8,24.23737309990707,39.73978984712382,20.051092,4.6971827,1.0,22.925582188670894
Fresno,2018,9,21.128174709620964,24.147891171565465,12.410023,6.343648,1.0,19.992390875716506
Fresno,2018,10,15.343248835219242,33.91160756732345,18.099157,4.394408,1.0,14.656789883888178
Fresno,2018,11,10.212743365371068,21.966367297575395,14.097305,3.3047009,1.0,8.688868188708247
Fresno,2018,12,5.573444510492038,8.034049741269314,5.605468,1.9801707,1.0,4.890050153511372
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,22.059702773306768,8.237858,3.4522183,2.0,11.148379905834364
Fresno,2018,5,16.308109935850325,28.923268410329356,15.875668,2.1135666,2.0,15.634527908564628
Fresno,2018,6,22.03474855826954,35.27148581412634,12.811485,5.0805326,2.0,20.230983178453634
Fresno,2018,7,26.48462096705111,44.07093719224659,22.14976,2.5782847,2.0,23.6462897093963
Fresno,2018,8,24.23737309990707,42.51936629279971,20.051092,4.6971827,2.0,22.925582188670894
Fresno,2018,9,21.128174709620964,34.88142262427354,12.410023,6.343648,2.0,19.992390875716506
Fresno,2018,10,15.343248835219242,33.677453894293514,18.099157,4.394408,2.0,14.656789883888178
Fresno,2018,11,10.212743365371068,29.987356799261484,14.097305,3.3047009,2.0,8.688868188708247
Fresno,2018,12,5.573444510492038,10.687829362966978,5.605468,1.9801707,2.0,4.890050153511372
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,16.52328010812182,8.237858,3.4522183,3.0,11.148379905834364
Fresno,2018,5,16.308109935850325,31.485967661349374,15.875668,2.1135666,3.0,15.634527908564628
Fresno,2018,6,22.03474855826954,30.99754393393136,12.811485,5.0805326,3.0,20.230983178453634
Fresno,2018,7,26.48462096705111,45.50089286101179,22.14976,2.5782847,3.0,23.6462897093963
Fresno,2018,8,24.23737309990707,45.43476858223732,20.051092,4.6971827,3.0,22.925582188670894
Fresno,2018,9,21.128174709620964,33.96502041768569,12.410023,6.343648,3.0,19.992390875716506
Fresno,2018,10,15.343248835219242,29.649643834662065,18.099157,4.394408,3.0,14.656789883888178
Fresno,2018,11,10.212743365371068,22.663929382311014,14.097305,3.3047009,3.0,8.688868188708247
Fresno,2018,12,5.573444510492038,10.114499111114991,5.605468,1.9801707,3.0,4.890050153511372
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,18.77552374260285,8.237858,3.4522183,4.0,11.148379905834364
Fresno,2018,5,16.308109935850325,30.563680406967492,15.875668,2.1135666,4.0,15.634527908564628
Fresno,2018,6,22.03474855826954,31.948269567420493,12.811485,5.0805326,4.0,20.230983178453634
Fresno,2018,7,26.48462096705111,49.85849249707951,22.14976,2.5782847,4.0,23.6462897093963
Fresno,2018,8,24.23737309990707,35.393672490803525,20.051092,4.6971827,4.0,22.925582188670894
Fresno,2018,9,21.128174709620964,29.3183855294158,12.410023,6.343648,4.0,19.992390875716506
Fresno,2018,10,15.343248835219242,26.762178815450724,18.099157,4.394408,4.0,14.656789883888178
Fresno,2018,11,10.212743365371068,22.838140559507266,14.097305,3.3047009,4.0,8.688868188708247
Fresno,2018,12,5.573444510492038,14.049372756025836,5.605468,1.9801707,4.0,4.890050153511372
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,15.480025886524162,8.237858,3.4522183,5.0,11.148379905834364
Fresno,2018,5,16.308109935850325,30.298986812634006,15.875668,2.1135666,5.0,15.634527908564628
Fresno,2018,6,22.03474855826954,34.91028816856077,12.811485,5.0805326,5.0,20.230983178453634
Fresno,2018,7,26.48462096705111,41.39005204098137,22.14976,2.5782847,5.0,23.6462897093963
Fresno,2018,8,24.23737309990707,45.241100868248814,20.051092,4.6971827,5.0,22.925582188670894
Fresno,2018,9,21.128174709620964,44.25390159656635,12.410023,6.343648,5.0,19.992390875716506
Fresno,2018,10,15.343248835219242,26.701123956381927,18.099157,4.394408,5.0,14.656789883888178
Fresno,2018,11,10.212743365371068,18.954246209496333,14.097305,3.3047009,5.0,8.688868188708247
Fresno,2018,12,5.573444510492038,13.703635753438363,5.605468,1.9801707,5.0,4.890050153511372
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,15.177717765846877,8.237858,3.4522183,6.0,11.148379905834364
Fresno,2018,5,16.308109935850325,29.66686394589765,15.875668,2.1135666,6.0,15.634527908564628
Fresno,2018,6,22.03474855826954,33.770179640545834,12.811485,5.0805326,6.0,20.230983178453634
